Title,Article,Category
"

There is no air to clear: Aditi on dating rumours with Siddharth


short by Amartya Sharma / 
      10:33 pm on 12 Mar 2023,Sunday

","Actress Aditi Rao Hydari, during an interview, was asked to clear the air on her equation with actor Siddharth amid dating rumours. To this, Aditi replied, ""There is no air to clear...There are certain things that are sacrosanct, and you don't want to speak about them so you don't."" She added people assume what they want to assume.",Entertainment
"

My association with Salman sir has been a blessing: Palak Muchhal 


short by Udit Gupta / 
      05:45 pm on 12 Mar 2023,Sunday

","Singer Palak Muchhal, speaking about her equation with Salman Khan, said, ""My association with Salman sir has been a blessing."" ""He not only gave me a break in Ek Tha Tiger but also recommended my name to various producers and...composers,"" she added. Palak further said Salman has contributed a lot to her career and also supported her in sponsoring surgeries.
    ",Entertainment
"

Word 'comeback' should be packed & parcelled away: Karisma Kapoor 


short by Udit Gupta / 
      04:45 pm on 12 Mar 2023,Sunday

","Karisma Kapoor said the word 'comeback' should be ""packed and parcelled away"". ""When someone comes back to...office after a few years, is he or she making...comeback into...corporate world? He or she's just back to work,"" she added. Karisma also spoke about how she started working at an ""unusually young age"" and did four shifts in a day for multiple years.   ",Entertainment
"

It's too personal to me: Rana on 'RRR' getting global recognition


short by Amartya Sharma / 
      06:46 pm on 12 Mar 2023,Sunday

","Actor Rana Daggubati, during an interview, was asked about 'RRR' getting global recognition and what the film's success meant to him. ""'RRR' is too personal I think to me...They are our films. It's Telugu, it's India, it's that kind that you will always love,"" he stated. The film's song 'Naatu Naatu' is nominated at the Oscars.",Entertainment
"

We would sit together & always laughed, joked: Shriya on RRR shoot


short by Amartya Sharma / 
      07:21 pm on 12 Mar 2023,Sunday

","Shriya Saran recalled the lunch breaks during the shoot of 'RRR' and said, ""We would sit together, and everyone was always laughing and joking."" She also revealed that director SS Rajamouli worked with the same crew that he had during the shoot of 'Chatrapathi' in 2005. ""It's just the positivity and vibe that matters more than anything,"" she added.",Entertainment
"

Put 3 silicone bellies: Monica on pregnant look in Thumka song    


short by Udit Gupta / 
      08:10 pm on 12 Mar 2023,Sunday

","'Tu Jhoothi Main Makkaar' actress Monica Chaudhary, whose character was seen in her ninth month of pregnancy in song 'Show Me The Thumka', said, ""I'd to lose all that weight because of [a] schedule."" ""They put one silicone stomach...and it didn't show...So they put two...but still, I didn't look nine months pregnant...Eventually, we'd to put three silicone bellies,"" Monica added.    
",Entertainment
"

I'm confident, 'Naatu Naatu' has potential to win Oscar: Keeravani


short by Amartya Sharma / 
      09:20 pm on 12 Mar 2023,Sunday

","'Naatu Naatu' composer MM Keeravani has said that he's confident that his song has the potential to win an Oscar. ""We've spoken about this every time Naatu Naatu has won an American award during the last three months. Now we are hours away from the event. And I feel the same way, I'm confident,"" he stated. ",Entertainment
"

I don't consider myself a star: Kareena Kapoor   


short by Udit Gupta / 
      10:07 pm on 12 Mar 2023,Sunday

","Actress Kareena Kapoor Khan said in a recent interview that she doesn't consider herself a star, adding that today everyone wants to be known as an actor and not a star. ""That is...new standard of cinema, as it should be,"" she added. ""For me, it was always about being a good actor, more than being just a star,"" said Kareena.
   ",Entertainment
"

Incorrect: Shyam Benegal's daughter on director's health reports 


short by Amartya Sharma / 
      05:14 pm on 12 Mar 2023,Sunday

","Filmmaker Shyam Benegal's daughter Pia Benegal has reacted to health reports about her father and called them ""incorrect information"". ""It is none of your business right now. He will be hale and hearty in a few days,"" Pia stated. Recently, reports stated that the 88-year-old director underwent dialysis at his home after both his kidneys failed.",Entertainment
"

I like cigarette in woman's hand, used to carry it in purse: Seema


short by Udit Gupta / 
      06:43 pm on 12 Mar 2023,Sunday

","Actress Seema Pahwa said in an interview that she does not smoke cigarettes but really likes them. She added that she ""really likes girls who smoke"". ""I really like a cigarette in a woman's hand...They have a unique style while talking,"" Seema said. She also recalled carrying cigarette packets in her purse to appear cool.     ",Entertainment
"

I would not say it was love at first sight: Sharmila on Mansoor


short by Udit Gupta / 
      10:02 pm on 12 Mar 2023,Sunday

","Sharmila Tagore, speaking about her late cricketer-husband Mansoor Ali Khan Pataudi, said, ""I wouldn't say it was love at first sight...but I always felt...he'd never hurt me."" ""I felt...I could trust him and...I guess that's where...love blossomed between us,"" she added. Sharmila also called Mansoor's sense of humour ""very unique"" and said he used to laugh at his own jokes.",Entertainment
"

Working with you was inspiring: Big B on Satish Kaushik's demise


short by Amartya Sharma / 
      10:28 pm on 12 Mar 2023,Sunday

","Veteran actor Amitabh Bachchan took to his personal blog and paid tribute to late actor Satish Kaushik, who passed away aged 66 after suffering a heart attack. ""We have lost another...A delightful company, a most accomplished artist and in the prime of his career...Satish Kaushik...Working with you was so inspiring...and such a learning...My prayers,"" Amitabh wrote.",Entertainment
"

Can't deny there was butterfly in my stomach: Zeenat on ramp walk


short by Udit Gupta / 
      10:37 pm on 12 Mar 2023,Sunday

","Zeenat Aman took to Instagram to share that she had ""a butterfly or two fluttering"" in her stomach ahead of her ramp walk at the Lakme Fashion Week. ""I'd forgotten what a whirlwind it is to be backstage! The bustle of a fashion show approaching showtime is unique,"" the actress, who began her career as a model, added.    ",Entertainment
"

Yo Yo Honey Singh dances with sweeper during concert, video viral


short by Udit Gupta / 
      05:38 pm on 12 Mar 2023,Sunday

","A video of rapper Yo Yo Honey Singh dancing with a sweeper during the former's concert in Jaipur has gone viral on social media. The video shows Honey grooving with a member of the cleaning staff, who got on the stage in between the performance to clear off the confetti. Several fans reacted to the video, with one writing, ""Kindness.""     ",Entertainment
"

I wrote answers under pinafore: Shraddha on being caught cheating


short by Arnab Mukherji  / 
      07:30 pm on 12 Mar 2023,Sunday

","Actress Shraddha Kapoor said she tried to cheat in an exam by writing answers under her pinafore, having assumed that she wouldn't be caught considering the ""idea's brilliance"". ""My teacher was standing right next to me. I was like, 'Hey, I know I'm going to get amazing marks'...My teacher shouted, 'Shraddha!', and I was caught in the end,"" added Shraddha.",Entertainment
"

Swara Bhasker, Fahad Ahmad share pics from their Haldi ceremony


short by Amartya Sharma / 
      08:24 pm on 12 Mar 2023,Sunday

","Actress Swara Bhasker and her husband, Samajwadi Party leader Fahad Ahmad, took to Instagram and shared pictures from their Haldi ceremony. Along with the pictures, Swara wrote, ""Here's to celebrating all the colours of life together. #SwaadAnusaar."" In another post, Swara shared a video from the ceremony and wrote, ""A Haldi ceremony that turned into Holi!""",Entertainment
"

Grandmother was in disbelief that I froze my eggs: Ridhima Pandit 


short by Udit Gupta / 
      10:47 pm on 12 Mar 2023,Sunday

","Ridhima Pandit, who froze her eggs in September last year, said her 93-year-old grandmother was in disbelief when she told her about the procedure but appreciated medical advancement and her for taking the step. She added her family is ""extremely progressive"". Ridhima further said she's proud of her decision as many of her friends are now opting for this procedure.  ",Entertainment
"

Being a woman in India is not easy: Tanishaa Mukerji


short by Amartya Sharma / 
      06:19 pm on 12 Mar 2023,Sunday

","Tanishaa Mukerji, speaking about her short film 'Agni-Daah', has said that being a woman in India is not easy. ""A lot of the disrespect is subtle and ingrained. Like, when a woman is talking, how people ignore her,"" she added. Tanishaa said that the short film is based on the true story of a girl who works in a crematorium.",Entertainment
"

'National Film Heritage...' giving new lifeline to cinema: Thakur


short by Ayushi Jain / 
      04:51 pm on 12 Mar 2023,Sunday

","During his visit to the National Film Archive of India in Pune, I&B Minister Anurag Thakur said that 'National Film Heritage Mission' is giving a new lifeline to the heritage of Indian cinema. The mission is aimed at preserving, restoring and digitising films. Over 1,200 features have been digitised in 4K and 2K resolution so far, a press release stated.",Entertainment
"<div class=""news-card-title news-right-box"">
<a class=""clickable"" href=""/en/news/national-film-heritage-giving-new-lifeline-to-cinema-thakur-1678620092947"" onclick=""track_GA_Mixpanel({'hitType': 'event', 'category': 'TitleOfNews', 'action': 'clicked', 'label': ''National%20Film%20Heritage...'%20giving%20new%20lifeline%20to%20cinema%3A%20Thakur)' });"" style=""color:#44444d!important"">
<span itemprop=""headline"">'National Film Heritage...' giving new lifeline to cinema: Thakur</span>
</a>
<div class=""news-card-author-time news-card-author-time-in-title"">
<a href=""/prev/en/news/national-film-heritage-giving-new-lifeline-to-cinema-thakur-1678620092947""><span class=""short"">short</span></a> by <span class=""author"">Ayushi Jain</span> / 
      <span class=""time"" content=""2023-03-12T11:21:32.000Z"" itemprop=""datePublished"">04:51 pm</span> on <span clas=""date"">12 Mar 2023,Sunday</span>
</div>
</div>","<div itemprop=""articleBody"">During his visit to the National Film Archive of India in Pune, I&amp;B Minister Anurag Thakur said that 'National Film Heritage Mission' is giving a new lifeline to the heritage of Indian cinema. The mission is aimed at preserving, restoring and digitising films. Over 1,200 features have been digitised in 4K and 2K resolution so far, a press release stated.</div>",Entertainment
"<div class=""news-card-title news-right-box"">
<a class=""clickable"" href=""/en/news/national-film-heritage-giving-new-lifeline-to-cinema-thakur-1678620092947"" onclick=""track_GA_Mixpanel({'hitType': 'event', 'category': 'TitleOfNews', 'action': 'clicked', 'label': ''National%20Film%20Heritage...'%20giving%20new%20lifeline%20to%20cinema%3A%20Thakur)' });"" style=""color:#44444d!important"">
<span itemprop=""headline"">'National Film Heritage...' giving new lifeline to cinema: Thakur</span>
</a>
<div class=""news-card-author-time news-card-author-time-in-title"">
<a href=""/prev/en/news/national-film-heritage-giving-new-lifeline-to-cinema-thakur-1678620092947""><span class=""short"">short</span></a> by <span class=""author"">Ayushi Jain</span> / 
      <span class=""time"" content=""2023-03-12T11:21:32.000Z"" itemprop=""datePublished"">04:51 pm</span> on <span clas=""date"">12 Mar 2023,Sunday</span>
</div>
</div>","<div itemprop=""articleBody"">During his visit to the National Film Archive of India in Pune, I&amp;B Minister Anurag Thakur said that 'National Film Heritage Mission' is giving a new lifeline to the heritage of Indian cinema. The mission is aimed at preserving, restoring and digitising films. Over 1,200 features have been digitised in 4K and 2K resolution so far, a press release stated.</div>",Entertainment
"Oscars 2023: 10 Best Picture Nominees, Where to Watch Them in India"," Oscars 2023: A glimpse at 10 Best Picture nominees, where to watch them in India and what they are all about.",Entertainment
Viral Video: Secret Behind Michael Jackson's Anti-Gravity Lean From Smooth Criminal," The pop star who was labelled the ""King of Pop"" is regarded as one of the most significant cultural figures of the 20th century.",Entertainment
Oscars 2023: Ram Charan Greets Fans Ahead of 95th Academy Awards, Actor Ram Charan met his fans from different states of USA at Los Angeles on March 11. The event was organised by the Fans associations in USA and took place at Los Feliz Blvd.,Entertainment
Karan Breaks Silence on Breakup Rumours With Tejasswi: 'It's Because of You...', Karan Kundrra on His and Tejasswi Prakash's Breakup Rumours: 'Stronger Each Passing Moment',Entertainment
Anupam Kher Visits Kalighat Temple: 'I Prayed For my Friend Satish Kaushik', Anupam Kher recently visited Kolkata's Kalighat temple and prayed for his late friend and former co-star Satish Kaushik.,Entertainment
Esha Gupta Dons Hot Bodycon Gown as She Poses With Jr NTR And Ram Charan," Esha Gupta recently sizzled in her hot bodycon outfit as she posed with Jr NTR, Ram Charan and Priyanka Chopra. - See Pics",Entertainment
30 Years of 1993 Mumbai Blasts: All About Bollywood's Connection, 30 Years of 1993 Mumbai Bomb Blasts: A revisit at the horrific incidents that shook an entire nation and its connection with Sanjay Dutt and Bollywood.,Entertainment
Karisma Kapoor Objects to 'Murder Mubarak' Being Called Her 'Comeback Film', Karisma Kapoor recently objected to 'Murder Mubarak' being referred to as her 'comeback film' in one of her interviews.,Entertainment
Oscars 2023: Kiara Advani Reveals How Ram Charan Changed Post RRR Success," Ahead of Oscars 2023 ceremony, Kiara Advani recently revealed how Ram Charan changed post RRR success.",Entertainment
Satish Kaushik Death Case: Vikas Mallu Reacts After Being Accused of Murder," Satish Kaushik Death Case: Vikas Mallu, who has been accused of murdering the actor, has broken silence now. Check his post here",Entertainment
Shraddha Kapoor in The Weekend Interview: Is 'Aashiqui 3' Even Being Made? | Exclusive," Shraddha Kapoor In The Weekend Interview: The actor speaks on her 13 years long journey in the film industry, being stereotyped and if she has been approached for Aashiqui 3.",Entertainment
Madhuri Dixit's Mother Snehlata Dixit Passes Away at 90, Madhuri Dixit's mother died at the age of 90 on Saturday morning. Further details are awaited about the cause of her death.,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Tu Jhoothi Main Makkaar BOC Day 4: Saturday Numbers Are Impressive For Ranbir-Shraddha's Rom-Com, Tu Jhoothi Main Makkaar Box Office Collection Day 4: Ranbir Kapoor and Shraddha Kapoor's romantic-comedy crosses Rs 52 crore! Check the day-wise breakup here,Entertainment
Oscars 2023: 'Naatu Naatu' And 'The Elephant Whisperers' Frontrunners According To Variety And Los Angeles Times' Prediction,,Entertainment
Anushka Sharma Reacts To Virat Kohli's Century Against Australia: 'Playing Through Sickness With This Composure',,Entertainment
Tamannaah Bhatia On Rumours Of Dating Vijay Varma: 'Clarifying Is Just Not Necessary',,Entertainment
Jr NTR To Sport Outfit By Indian Designer At Oscars 2023 Red Carpet: Report,,Entertainment
"Amid Breakup Rumours With Tejasswi Prakash, Karan Kundrra Tweets, 'Its Because Of You That We Grow Tenfold'",,Entertainment
"Honey Singh Involves Cleaning Staff While Performing On Stage, Netizens Are Impressed By His Interesting Moves. Watch",,Entertainment
'Completely False': Satish Kaushik’s Wife Dismisses ‘Murder’ Charge Levelled By Woman — Watch,,Entertainment
"Tu Jhoothi Main Makkaar Box office Collection: Ranbir Kapoor, Shraddha Kapoor Starrer Puts Up A Solid Show On Day 4",,Entertainment
"Uorfi Javed Creates An Outfit Out Of 'Tokris'. Says, ' I Feel This Is A Dying Art Now'",,Entertainment
"Satish Kaushik’s Manager Reveals Actor’s Last Words: 'Main Marna Nahin Chahta, Mujhe Vanshika Ke Liye Jeena Hai'",,Entertainment
Sharmila Tagore Recalls The Time When Nawab Pataudi Went Down On One Knee For Her In Paris,,Entertainment
"Oscars 2023: Date, When And Where To Watch The 95th Academy Awards In India",,Entertainment
Who Is Sagarika Bhattacharya? Expat Mother Whose Fight Inspires Rani Mukherji Film 'Mrs. Chatterjee Vs Norway',,Entertainment
Satish Kaushik Death: Delhi Police To Record Woman's Testimony Alleging Murder,,Entertainment
Madhuri Dixit's Mother Snehlata Dixit Passes Away At 91,,Entertainment
Sushmita Sen And Rohman Shawl Spotted Together After Actor's Lakme Fashion Week Appearance,,Entertainment
"Satish Kaushik Death: Woman Claims Her Husband Killed The Actor, Lodges Complaint",,Entertainment
'Nothing Suspicious' Found So Far: Delhi Police Rule Out Foul Play In Satish Kaushik's Death,,Entertainment
Lakme Fashion Week: Fans Call Zeenat Aman 'Legend' As She Returns To Ramp At 71. Watch,,Entertainment
"Congress Gears Up To Take On BJP In Budget Session, Oppn Parties Reluctant To Get On Board",,Entertainment
"PM Modi Inaugurates Projects Worth Rs 16k Crore In Karnataka, Slams Rahul Gandhi For UK Remarks. Top Points",,Entertainment
"Kiran Kumar Reddy, Last CM Of Undivided Andhra Pradesh, Quits Congress",,Entertainment
"'Normal For Him To Cry...': Smriti Irani, Yogi & Other BJP Leaders Slam Rahul Gandhi Over Remarks In UK",,Entertainment
"Centre Opposes Same-Sex Marriage In SC, Says Not Comparable With 'Indian Family Unit' Concept",,Entertainment
Indigenously Built Stealth Frigate INS Sahyadri Participates In Maritime Exercise With French Navy,,Entertainment
"PM Modi Unveils World's Longest Railway Platform In Hubballi, Dedicates IIT Dharwad To Nation",,Entertainment
Indian Navy Set To Place Orders For Over 200 BrahMos Supersonic Cruise Missiles,,Entertainment
"Tamil Nadu BJP Chief Writes To Jaishankar, Seeks Help For Repatriation Of 16 Fishermen Detained By Sri Lanka",,Entertainment
Swara Bhasker Shares First Pictures From Her Haldi Ceremony,,Entertainment
"Tu Jhoothi Main Makkaar box office collection Day 4: Ranbir Kapoor-Shraddha Kapoor starrer sees grow
","Tu Jhoothi Main Makkaar box office collection Day 4: Ranbir Kapoor and Shraddha Kapoor starrer saw a substantial rise in numbers on Saturday, March 11.",Entertainment
"Madhuri Dixit's mother Snehlata Dixit passes away at 91
",Madhuri Dixit's mother Snehlata Dixit left for her heavenly abode on March 12. The last rites were performed on Sunday afternoon. ,Entertainment
"When Shah Rukh Khan, Akshay Kumar turned therapists for depressed Kapil Sharma | Aap Ki Adalat
 ",Kapil Sharma confessed to Rajat Sharma that all his actions were a result of his depression and now he is in a happy place. Here's what he has to say about Shah Rukh Khan and Akshay Kumar.,Entertainment
"AR Rahman wants Naatu Naatu to win Oscars: 'Any award for any of us will lift India up'
","AR Rahman won two Oscars for Best Original Score for Slumdog Millionaire and Best Original Song, with Gulzar, for Jai Ho at the 81st Academy Awards in 2009 hopes Naatu Naatu wins Oscars.
",Entertainment
"Which is the real Kapil Sharma? Aggressive and drunk Twitter user or charming comedian on TKSS
 ",Kapil Sharma was grilled by India TV Editor-in-Chief and Chairman Rajat Sharma on his show 'Aap Ki Adalat' over his past Twitter controversies. Here's what the comedian-actor said. ,Entertainment
"Why did Nandita Das cast comedian Kapil Sharma as 'serious delivery boy' in Zwigato? Actor answers
 ",The comedian-actor Kapil Sharma on Aap Ki Adalat shared his curiosity about Nandita Das’s decision to cast him for the role of a 'serious' food delivery agent in Zwigato.,Entertainment
"Why did Kapil Sharma invest Rs 35cr in 'Firangi': 'bank balance se khujli hori thi'
 ","Comedian-actor Kapil Sharma, who rose to fame after winning the comedy reality television show The Great Indian Laughter Challenge in 2007, faced difficult questions posed by Rajat Sharma on Aap Ki Adalat. Know about his big revelations.",Entertainment
"Kapil Sharma on Aap Ki Adalat: Comedian on joining politics, says 'I am happy making people laugh' 
 ",Kapil Sharma goes all candid as he faces Rajat Sharma's questions on Aap Ki Adalat. He also shared his opinion on joining politics. ,Entertainment
"Know what happened when Katrina Kaif, Vicky Kaushal invited Anushka Sharma and Virat for dinner
",This is what happened when Katrina Kaif and Vicky Kaushal invited their neighbors Anushka Sharma and Virat Kohli for dinner. Read on to know.,Entertainment
"Sushmita Sen turns showstopper days after suffering heart attack; fans can't take eyes off her
","Sushmita Sen marked her first public appearance after suffering from a heart attack. She walked the ramp in a lehenga.
",Entertainment
"Priyanka Chopra poses with Ram Charan as they attend South Asian Excellence pre-Oscar event | Photos
","RRR star Ram Charan along with his wife Upasana attended Priyanka Chopra's bash, hosted by the global icon, where they posed together for a click. Have a look.

",Entertainment
"Guess what Emily in Paris star Lucien Laviscount and NTR Jr discuss in LA
","The epic period action drama RRR's Naatu Naatu is nominated in the 'Best Original Song' category after a smashing win at the Golden Globes. Know what the Emily in Paris heartthrob Lucien Laviscount wants to discuss with the NTR Jr about this.
",Entertainment
"Priyanka Chopra opens up on pay parity: 'I might get into trouble for saying this'
","Actress Priyanka Chopra Jonas, who is gearing up for the release of her upcoming spy-action thriller series 'Citadel', has shared that for the first time in her 22 years' career, she got equal pay with 'Citadel'.
",Entertainment
"Amitabh Bachchan pays tribute to Satish Kaushik: 'A delightful company, most accomplished artist...'
","Amitabh Bachchan expresses grief over Satish Kaushik's demise and calls him ‘delightful company.’ 
",Entertainment
title,article,category
"

'CID' producer Pradeep Uppoor passes away, actor Shivaji Satam condoles demise


short by Anmol Sharma / 
      08:49 pm on 13 Mar 2023,Monday

","'CID' producer Pradeep Uppoor passed away after battling cancer. He was in Singapore when he breathed his last, ETimes reported. Actor Shivaji Satam, who played the role of ACP Pradyuman in the show, took to social media to condole Uppoor's demise. ""A long wonderful chapter of my life comes to an end with your exit Boss,"" he wrote.",Entertainment
"

Oscar nominee Tems criticised for her 'view-blocking' outfit, pic goes viral


short by Arshiya Chopra / 
      04:35 pm on 13 Mar 2023,Monday

","Oscar-nominated singer-songwriter Tems was criticised for her outfit that blocked the view of attendees at the Academy Awards. Tems wore a white gown that wrapped around her head. Reacting to her viral pictures, a social media user said, ""See people stretching their necks to get a view of the stage."" ""Her designer should have thought this through,"" said another.",Entertainment
"

Why was the Oscars 'red carpet' champagne-coloured this year?


short by Daisy Mowke / 
      05:07 pm on 13 Mar 2023,Monday

","For the first time in 62 years, the Oscars replaced its red carpet with a champagne-coloured rug. This year's planners chose a champagne-coloured carpet because they wanted a ""soothing"" and neutral colour that wouldn't contrast with the orange tent that was erected to shelter attendees from potential weather fluctuations. It was also to create more of an 'evening event' atmosphere.",Entertainment
"

Won't cooperate till officer is changed: Businessman Malu's wife in Satish Kaushik case


short by Apaar Sharma / 
      05:59 pm on 13 Mar 2023,Monday

","Businessman Vikas Malu's wife Saanvi has said she won't cooperate in probe into Satish Kaushik's death till the officer is changed. Saanvi's lawyer said she earlier made rape allegations against her husband and it was the same inspector, who was removed from case for allegedly tampering with proof. Saanvi has claimed that Malu conspired to kill Kaushik over ₹15 crore. 
",Entertainment
"

'RRR' team celebrates Oscar win at SS Rajamouli's house in LA, pics surface


short by Anmol Sharma / 
      09:49 pm on 13 Mar 2023,Monday

","After 'Naatu Naatu' was declared the Best Original Song at Oscars 2023, the 'RRR' team gathered to celebrate the victory at director SS Rajamouli's house in Los Angeles. Pictures and videos from the celebrations have surfaced online. In one of the videos, music composer MM Keeravaani is seen playing the piano.",Entertainment
"

President congratulates teams of 'The Elephant Whisperers' & 'RRR'


short by Shalini Ojha / 
      04:50 pm on 13 Mar 2023,Monday

","President Droupadi Murmu on Monday congratulated the teams of 'The Elephant Whisperers' and 'RRR' for their Oscar wins. ""I hope it awakens the world to the timeless message of our seers about our bonds with Mother Nature and all its children,"" she wrote about the documentary 'The Elephant Whisperers'. She added 'Naatu Naatu' has become a global phenomenon.",Entertainment
"

Truly inspirational: SRK as 'Elephant...' & 'Naatu...' win Oscars


short by Kameshwari / 
      05:06 pm on 13 Mar 2023,Monday

","Shah Rukh Khan called the win of 'The Elephant Whisperers' and 'RRR' song 'Naatu Naatu' at Oscars as ""truly inspirational"". ""Big hug to Guneet Monga and Kartiki Gonsalves...MM Keeravaani, Chandrabose, SS Rajamouli, Ram Charan and Jr NTR, thank you for showing us all, the way to do it,"" SRK tweeted. 'Naatu Naatu' won an Oscar under Best Original Song category. ",Entertainment
"

Ladies, don't let anyone say you're past your prime: Michelle Yeoh


short by Kameshwari / 
      05:07 pm on 13 Mar 2023,Monday

","Actress Michelle Yeoh, who won her first Oscar for 'Everything Everywhere All At Once', described her Best Actress award as a ""beacon of hope"" for youngsters who look like her. She added, ""[The award] is a proof that...dreams...come true. And ladies, don't let anybody tell you that you're...past your prime."" Yeoh became the first Asian woman to receive the award.",Entertainment
"

'Naatu...' lyricist Chandrabose's wife tears up watching Oscar win on TV, video surfaces


short by Anmol Sharma / 
      05:54 pm on 13 Mar 2023,Monday

","'Naatu Naatu' lyricist Chandrabose's wife teared up after the song was named Best Original Song at Oscars 2023. In a video, she can be seen watching Oscars on TV, clapping and getting emotional on 'Naatu Naatu' bagging the award. Chandrabose earlier revealed he wrote ""90% of the song within half a day and rest 10% in 1.7 years"".",Entertainment
"

Video of Angela Bassett's reaction to losing Best Supporting Actress Oscar goes viral


short by Anmol Sharma / 
      08:53 pm on 13 Mar 2023,Monday

","A video of actress Angela Bassett's reaction to losing Best Supporting Actress Oscar award to Jamie Lee Curtis has gone viral. In the video, Angela can be seen seemingly disappointed. She also didn't stand up for the winner. Reacting to the video, a social media user tweeted, ""Angela Bassett's reaction hurts me."" Another wrote, ""Bassett could've clapped for the winner.""",Entertainment
"

No better news than 2 women bringing first-ever Oscar: MK Stalin


short by Saurabh Pandey / 
      04:26 pm on 13 Mar 2023,Monday

","Talking about 'The Elephant Whisperers' winning an Oscar in Best Documentary Short Film category, Tamil Nadu CM MK Stalin tweeted, ""No better news..than two women bringing the first-ever Oscar for an Indian production."" ""Congratulations to [the film's director] Kartiki Gonsalves and [producer] Guneet Monga on winning the Oscar,"" added Stalin. Stalin stated that the film deserves all the praise.",Entertainment
"

Ajay, Rohit's 'Singham Again' to release on Diwali 2024: Report


short by Udit Gupta / 
      06:06 pm on 13 Mar 2023,Monday

","Rohit Shetty's 'Singham Again', starring Ajay Devgn in the lead role, will be released on Diwali next year, film trade analyst Taran Adarsh shared on Monday. The film will go on floors in July this year, Taran said. 'Singham Again', the third part in the 'Singham' franchise, will also feature Deepika Padukone.  ",Entertainment
"

'Bhool Bhulaiyaa 3', 'Singham Again' to clash on Diwali 2024


short by Amartya Sharma / 
      07:16 pm on 13 Mar 2023,Monday

","Kartik Aaryan-starrer 'Bhool Bhulaiyaa 3' and Ajay Devgn's 'Singham Again' will clash at the box office on Diwali 2024. Recently, Kartik took to Instagram and announced the third instalment of the 'Bhool Bhulaiyaa' franchise along with the caption, ""Rooh Baba Returns Diwali 2024."" 'Singham Again', which will be directed by Rohit Shetty, also stars actress Deepika Padukone.",Entertainment
"

Was jumping on my bed: Karan on Naatu Naatu's Oscar win    


short by Udit Gupta / 
      07:34 pm on 13 Mar 2023,Monday

","After RRR's song 'Naatu Naatu' won Oscar for the Best Original Song, Karan Johar took to his Instagram Stories to express his happiness. He called the win ""historic"" and wrote, ""OMG!! I was jumping on my bed!!! So so so proud!"" Meanwhile, Hrithik Roshan also congratulated the team of 'RRR' for bagging the award at the 95th Academy Awards.    ",Entertainment
"

Telugu flag flying higher: Andhra CM as 'Naatu Naatu' wins Oscar


short by Ayushi Jain / 
      05:01 pm on 13 Mar 2023,Monday

","After RRR's 'Naatu Naatu' won the Oscar for 'Best Original Song', Andhra Pradesh CM YS Jagan Mohan Reddy said, ""Telugu flag is flying higher."" ""I'm filled with pride on a Telugu song, that so beautifully celebrates our folk heritage, being given its due recognition internationally today,"" he added. CM Reddy also congratulated the film's team for the win.",Entertainment
"

Happy to work with 'Sarabhai...' makers again: Ratna on 'Happy...'


short by Amartya Sharma / 
      05:44 pm on 13 Mar 2023,Monday

","Actress Ratna Pathak Shah, speaking about collaborating with JD Majethia and Aatish Kapadia in 'Happy Family Conditions Apply', said the success of 'Sarabhai Vs Sarabhai' justified her faith in JD and Aatish as creators. ""I've been extremely happy...to work with them again. They're at the top of their game in the present-day of commercial-Hindi language comedy programming,"" she added.",Entertainment
"

Kartik is new, cannot replace Akshay: Suniel on 'Hera Pheri 3'  


short by Udit Gupta / 
      05:55 pm on 13 Mar 2023,Monday

","Suniel Shetty, speaking about rumours around Kartik Aaryan's casting in 'Hera Pheri 3', said he wasn't taking over Akshay Kumar's role in the film. ""Kartik is...new kid on the block who's extraordinary...but he cannot replace Akshay,"" he added. Suniel said Kartik was roped in to play a new character, adding, ""Now who's playing that part or...what happens to [it]...I'm clueless.""  ",Entertainment
